obj,n,att.M,att.SD,ex.M,ex.SD,cert.M,cert.SD,know.M,know.SD,imp.M,imp.SD,cogaff.M,cogaff.SD,moral.M,moral.SD,self.M,self.SD,conabs.M,conabs.SD,stab.M,stab.SD,resp.time.M,resp.time.SD,cor.ideo,cor.age,cor.big5.EX,cor.big5.AG,cor.big5.CO,cor.big5.ES,cor.big5.OP,gender.diff
ANIMAL TRAINERS,34,4.911764705882353,1.13798458366358,1.2058823529411764,0.8082683234603762,4.970588235294118,1.2669527775191378,4.176470588235294,1.546659905326668,4.470588235294118,1.419246366757501,3.9705882352941178,1.4031413699623505,2.176470588235294,1.0862944585258114,1.8235294117647058,1.0289915108550531,2.735294117647059,1.5237279549087528,2.1176470588235294,0.9459548929714048,75.87720588235294,246.9002943525596,-0.00509418859805808,-0.12913420004301032,0.05331438985812647,0.5012767312187637,0.3271012448319373,0.053353231980951654,0.2974832505069767,0.6140454901216035
ANIMALS,69,6.260869565217392,0.8515068635183899,2.289855072463768,0.7689077294020303,6.231884057971015,0.8599748207023937,5.797101449275362,0.9006486248471405,6.434782608695652,0.7948040984967379,3.782608695652174,1.6437901434811035,3.246376811594203,1.24150995709742,2.927536231884058,1.287026218706726,2.898550724637681,1.741744625167805,2.289855072463768,1.1517435539134764,36.07895652173913,44.2635094523943,-0.04085946533371431,0.18372762968523992,-0.07417658755997338,0.26131333894240244,0.2214030754967414,0.051363100449784926,0.11393546981491265,-0.2843556268802569
ANNE HATHAWAY,33,5.121212121212121,1.0234004518508308,1.121212121212121,1.0234004518508308,4.606060606060606,1.7842959735459027,3.606060606060606,1.766695254199807,3.0303030303030303,1.7938235783663428,4.333333333333333,1.241638702145945,2.0606060606060606,1.4128737102841573,1.6666666666666667,1.1636866703140785,3.393939393939394,1.8189865643297427,2.212121212121212,1.1390120652778375,39.70575757575757,43.823768756257074,-0.220859469265146,0.02383943187815651,0.20108388277697514,0.2620600268393985,0.34617080796334415,0.12020482652579297,0.2836927684012263,-0.07136509272392302
ANSWERING EMAILS,33,4.878787878787879,1.2439246298906075,1.1818181818181819,0.9504783484693857,5.787878787878788,0.96038975673863,6.393939393939394,0.6092717958449424,5.2727272727272725,1.1256311360945266,3.3333333333333335,1.6708281379802852,2.272727272727273,1.2316839913490207,2.1818181818181817,1.1579762911688178,3.0303030303030303,1.8789100644530674,2.1515151515151514,1.301950750825759,46.74009090909091,43.788658093708776,0.07665567933091325,0.08622951189092433,0.1379142090942111,0.10453727064569243,-0.06428488251380629,0.23091631752317146,0.12111565565720754,0.0596610195778565
ANXIETY,32,2.53125,1.5859132913693408,1.90625,0.9954533737723926,5.875,1.4756081305138942,5.625,1.408499544814245,5.125,1.80947327926861,4.5,1.5657627225176254,2.5625,1.293594641599212,2.84375,1.1670026397957816,3.625,1.8272136375966974,2.78125,1.2632363710059404,34.84440625,28.263708477377012,0.38520523304057397,-0.09689716031275214,0.16960357863271916,-0.5083994555112541,-0.5394090276639467,-0.31858563340825335,-0.28140742792848517,0.28392601906089804
APPLE COMPUTERS,69,5.391304347826087,1.4268166058041465,1.7681159420289856,0.9098307459960678,5.695652173913044,1.04746680174947,5.072463768115942,1.4175251899381267,4.782608695652174,1.5611983068952788,3.5072463768115942,1.6944822947523903,1.9130434782608696,1.2572043031450963,2.1739130434782608,1.294292013363591,2.550724637681159,1.5768195081542538,2.6956521739130435,1.1543313295645763,27.924507246376812,14.763649525522025,0.030094235298303795,-0.12252441233931746,-0.03280750239006137,0.15090044357391422,0.02666320932969945,0.015191592715968222,-0.08685097660502938,0.49994151627680855
APPLE PAY,35,5.114285714285714,1.1053726699605877,1.1714285714285715,1.0427823157223146,4.771428571428571,1.4769944499022387,4.2,1.5300903471979148,4.257142857142857,1.4821061552608792,3.6285714285714286,1.6992336384332771,2.085714285714286,1.3584469629913802,1.9714285714285715,1.382361880893675,3.7714285714285714,1.8484606359587632,2.5714285714285716,1.1449560558151999,53.393971428571426,97.94885375916583,0.23553193305652223,-0.2391377759146628,-0.09149524592947537,-0.08604882291322878,0.12519178478761583,-0.1328128506169459,-0.14077966927774374,0.6988874989918333
APPLEBEE'S,32,4.09375,1.5731491941633426,1.28125,0.8884337432408971,5.84375,0.8838834764831844,5.3125,1.1482806221027917,2.96875,1.5960510744515868,3.28125,1.745674377499442,1.75,1.0472698761772856,1.84375,1.0809009085913235,2.53125,1.4807229054014952,2.21875,1.2110878873837942,31.94225,17.89125486682467,0.29932392981721206,-0.035422385900876,0.2710171832203648,-0.21738004106282238,0.10685912711697092,0.25009469769879367,0.05062013235369826,0.03190785864135483
APPLES,34,6.088235294117647,0.8657680793384716,2.1470588235294117,0.7020469181064869,6.117647058823529,0.8795558756124711,5.5588235294117645,1.0784718838607128,5.117647058823529,1.4091627835156706,3.2941176470588234,1.5672676815846585,1.6470588235294117,1.0977208603939477,1.8235294117647058,1.1926692303602573,1.9411764705882353,1.229465921757461,1.4705882352941178,0.8611230904040923,27.973117647058825,23.840291748475025,-0.09403007576371698,0.1693888427878157,-0.006106792910149941,0.40379593029665545,0.2519046035613691,0.1962652964782295,0.21595652794398876,-0.4225534737266449
APPLIANCES,31,5.806451612903226,1.1949715432793,1.8709677419354838,1.087564112558304,6.193548387096774,0.9804541409880654,5.838709677419355,0.7347005827114602,5.870967741935484,1.1177935254739124,2.774193548387097,1.9951554228406172,1.903225806451613,1.3748900249275071,1.903225806451613,1.3255147103340001,2.4193548387096775,2.0457141140831823,2.3870967741935485,1.3583671412113076,25.149677419354838,13.657022853675192,-0.08797152989232924,0.00913951739163477,0.030498448822704485,0.1347750293556341,0.2491935053063022,0.12985658263141237,-0.19206524166911892,0.043880050646332984
AQUARIUMS,34,5.411764705882353,1.2581286502320657,1.6470588235294117,0.9172539036208376,5.5588235294117645,1.560714220158626,5.029411764705882,1.2181778274338015,4.5588235294117645,1.4810147313855813,4.029411764705882,1.749204046133244,2.3529411764705883,1.3900589248721638,2.264705882352941,1.4628495133650037,2.823529411764706,1.8001782442941439,2.176470588235294,1.1926692303602573,35.63508823529412,29.91083002745615,0.2804036980665408,-0.12111168804854525,0.2743301233989809,0.060231703285927585,0.1351032559240141,0.02849353441188309,0.23597570122530823,-0.7836344616160741
ARCHEOLOGISTS,35,5.714285714285714,0.7503500583621178,1.7142857142857142,0.7503500583621178,5.8,0.8331372318284807,4.285714285714286,1.3841843759249062,5.542857142857143,1.1464230084422218,2.8,1.4100479758212652,1.8857142857142857,1.1053726699605877,1.5714285714285714,0.9787661586289704,3.1714285714285713,1.9324734879197192,2.2,1.079215401276752,29.62422857142857,17.10735425118771,-0.02281023525463963,-0.17851254180223064,-0.009207124750018881,0.17158947866487564,0.06849576158129958,0.0019349607572846737,0.4464936438745323,-0.3064941657506271
ART COLLECTING,33,5.212121212121212,0.9923953268977463,1.2727272727272727,0.9107938595233581,5.2727272727272725,1.0390117682420419,3.6666666666666665,1.5138251770487459,4.090909090909091,1.5883095645141954,4.03030303030303,1.7407765595569784,1.7575757575757576,0.867118180753892,1.7575757575757576,0.9692233691951198,3.909090909090909,1.9099024249231353,2.212121212121212,0.9923953268977463,29.189757575757575,20.054716256454338,0.0398348237954329,-0.23185868882728994,0.14494244269309178,0.026389262950594173,0.2463581247268216,0.230852443156159,0.29480049018486043,0.24390094075948932
